6873100.00
29382,0,100.00
32848,-6266.00,0.00,100.00
32925,-12960.00,0.00,100.00
33002,-5603.00,0.00,100.00
33078,-6812.00,0.00,100.00
33155,-4166.00,0.00,100.00
33231,-3854.00,0.00,100.00
33304,-3549.00,0.00,100.00
33377,-3394.00,0.00,100.00
33451,-3170.00,0.00,100.00
33523,-3108.00,0.00,100.00
33596,-2944.00,0.00,100.00
33669,-2784.00,0.00,100.00
33742,-2689.00,0.00,100.00
33815,-2587.00,0.00,100.00
33888,-2371.00,0.00,100.00
33960,-2118.00,0.00,100.00
34034,-1927.00,0.00,100.00
34107,-1731.00,0.00,100.00
34180,-1597.00,0.00,100.00
34252,-1507.00,0.00,100.00
34326,-1417.00,0.00,100.00
34399,-1270.00,0.00,100.00
34471,-1197.00,0.00,100.00
34544,-1137.00,0.00,100.00
34618,-1102.00,0.00,100.00
34691,-1007.00,0.00,100.00
34767,-705.00,0.00,100.00
34844,2389.00,0.00,100.00
34920,-10831.00,0.00,100.00
34997,-716.00,0.00,100.00
35073,25864.00,0.00,100.00
35149,-8785.00,0.00,100.00
35226,-3699.00,0.00,100.00
35302,-3705.00,0.00,100.00
35379,-3506.00,0.00,100.00
35456,-3185.00,0.00,100.00
35525,-3093.00,0.00,100.00
35601,-2860.00,0.00,100.00
35678,-2784.00,0.00,100.00
35753,-2694.00,0.00,100.00
35829,-2582.00,0.00,100.00
35905,-2242.00,0.00,100.00
35982,-2118.00,0.00,100.00
36058,-1854.00,0.00,100.00
36133,-1677.00,0.00,100.00
36210,-1545.00,0.00,100.00
36286,-1469.00,0.00,100.00
36362,-1307.00,0.00,100.00
36438,-1245.00,0.00,100.00
36514,-1149.00,0.00,100.00
36590,-1102.00,0.00,100.00
36666,-949.00,0.00,100.00
36742,-972.00,0.00,100.00
36818,-926.00,0.00,100.00
36891,-867.00,0.00,100.00
36968,-658.00,0.00,100.00
37045,2066.00,0.00,100.00
37121,9475.00,0.00,100.00
37197,3894.00,0.00,100.00
37273,-3426.00,0.00,100.00
37350,-10162.00,0.00,100.00
37426,-13716.00,0.00,100.00
37502,-6647.00,0.00,100.00
37579,-6124.00,0.00,100.00
37656,-3909.00,0.00,100.00
37733,-3860.00,0.00,100.00
37806,-3506.00,0.00,100.00
37878,-3252.00,0.00,100.00
37952,-3129.00,0.00,100.00
38025,-3033.00,0.00,100.00
38097,-2846.00,0.00,100.00
38170,-2722.00,0.00,100.00
38244,-2635.00,0.00,100.00
38317,-2421.00,0.00,100.00
